BAY_SEG,YEAR,MONTH,tnloadkg
4,1988,1,13699.81
4,1988,2,10125.19
4,1988,3,14462.58
4,1988,4,23532.74
4,1988,5,16442.30
4,1988,6,10756.79
4,1988,7,22211.25
4,1988,8,132024.70
4,1988,9,62771.39
4,1988,10,8118.98
4,1988,11,16852.07
4,1988,12,4050.13
4,1989,1,6904.70
4,1989,2,5074.10
4,1989,3,13258.70
4,1989,4,60254.68
4,1989,5,12826.39
4,1989,6,56014.27
4,1989,7,53014.30
4,1989,8,73307.31
4,1989,9,90782.42
4,1989,10,10480.55
4,1989,11,6888.25
4,1989,12,15244.73
4,1990,1,4935.53
4,1990,2,15833.85
4,1990,3,6641.29
4,1990,4,8311.08
4,1990,5,19454.89
4,1990,6,83364.43
4,1990,7,40862.86
4,1990,8,51290.70
4,1990,9,19909.04
4,1990,10,5975.82
4,1990,11,27644.35
4,1990,12,4758.28
4,1991,1,12556.35
4,1991,2,6975.08
4,1991,3,34743.87
4,1991,4,26835.82
4,1991,5,46185.03
4,1991,6,37170.54
4,1991,7,53871.16
4,1991,8,45349.58
4,1991,9,22442.18
4,1991,10,3960.28
4,1991,11,6644.79
4,1991,12,3940.07
4,1992,1,11123.17
4,1992,2,13153.50
4,1992,3,21817.87
4,1992,4,29136.96
4,1992,5,7208.35
4,1992,6,100153.72
4,1992,7,34659.54
4,1992,8,35971.82
4,1992,9,24962.07
4,1992,10,15496.71
4,1992,11,8688.30
4,1992,12,8077.08
4,1993,1,16285.98
4,1993,2,10588.56
4,1993,3,20029.11
4,1993,4,21410.57
4,1993,5,11653.28
4,1993,6,21716.62
4,1993,7,54416.72
4,1993,8,69376.63
4,1993,9,32712.78
4,1993,10,20380.85
4,1993,11,8545.22
4,1993,12,6084.87
4,1994,1,12732.14
4,1994,2,7898.57
4,1994,3,8241.48
4,1994,4,29207.16
4,1994,5,11169.11
4,1994,6,52670.36
4,1994,7,81992.27
4,1994,8,61821.21
4,1994,9,41474.66
4,1994,10,25477.67
4,1994,11,7300.80
4,1994,12,10687.96
5,1985,1,4968.05
5,1985,2,3949.15
5,1985,3,8082.17
5,1985,4,6044.37
5,1985,5,6342.25
5,1985,6,11866.33
5,1985,7,26936.29
5,1985,8,33937.52
5,1985,9,32283.27
5,1985,10,11129.28
5,1985,11,4765.70
5,1985,12,2943.54
5,1986,1,3663.48
5,1986,2,6861.01
5,1986,3,7810.56
5,1986,4,4910.83
5,1986,5,11481.43
5,1986,6,19851.70
5,1986,7,15979.83
5,1986,8,26241.35
5,1986,9,17581.75
5,1986,10,83233.24
5,1986,11,15845.29
5,1986,12,7266.52
5,1987,1,4730.92
5,1987,2,13123.53
5,1987,3,26078.97
5,1987,4,6698.40
5,1987,5,23566.92
5,1987,6,10524.06
5,1987,7,25360.16
5,1987,8,41419.44
5,1987,9,22933.96
5,1987,10,8582.00
5,1987,11,7233.52
5,1987,12,3325.63
5,1988,1,6150.81
5,1988,2,4322.44
5,1988,3,6986.37
5,1988,4,13837.07
5,1988,5,6446.61
5,1988,6,4876.51
5,1988,7,14439.91
5,1988,8,61637.36
5,1988,9,372270.55
5,1988,10,12616.25
5,1988,11,19657.27
5,1988,12,2982.32
5,1989,1,3293.38
5,1989,2,2872.80
5,1989,3,4511.59
5,1989,4,13591.05
5,1989,5,4404.81
5,1989,6,19725.63
5,1989,7,28675.05
5,1989,8,34639.15
5,1989,9,41490.56
5,1989,10,8527.52
5,1989,11,4399.73
5,1989,12,5682.00
5,1990,1,2775.97
5,1990,2,7235.29
5,1990,3,3565.64
5,1990,4,3509.33
5,1990,5,6827.18
5,1990,6,35162.93
5,1990,7,27767.74
5,1990,8,31260.44
5,1990,9,11898.68
5,1990,10,5610.97
5,1990,11,7195.36
5,1990,12,1718.13
5,1991,1,5820.62
5,1991,2,3110.43
5,1991,3,14459.70
5,1991,4,8473.95
5,1991,5,18099.36
5,1991,6,13954.77
5,1991,7,43659.72
5,1991,8,30114.77
5,1991,9,24177.89
5,1991,10,6242.24
5,1991,11,3563.65
5,1991,12,2027.13
5,1992,1,6436.14
5,1992,2,6167.78
5,1992,3,8966.44
5,1992,4,11843.91
5,1992,5,3667.46
5,1992,6,24875.98
5,1992,7,17100.85
5,1992,8,21152.66
5,1992,9,19274.49
5,1992,10,14739.79
5,1992,11,7264.21
5,1992,12,4533.53
5,1993,1,6997.35
5,1993,2,5985.01
5,1993,3,10040.30
5,1993,4,10203.84
5,1993,5,5465.16
5,1993,6,8590.97
5,1993,7,20372.53
5,1993,8,35160.70
5,1993,9,22221.02
5,1993,10,17313.81
5,1993,11,5081.12
5,1993,12,3994.59
5,1994,1,6127.08
5,1994,2,4236.46
5,1994,3,3949.95
5,1994,4,11617.43
5,1994,5,4959.43
5,1994,6,15456.86
5,1994,7,38987.75
5,1994,8,33299.47
5,1994,9,38084.53
5,1994,10,16346.38
5,1994,11,4622.78
5,1994,12,4609.01
6,1985,1,1581.78
6,1985,2,1091.55
6,1985,3,1761.05
6,1985,4,1555.02
6,1985,5,1457.33
6,1985,6,2188.43
6,1985,7,3605.25
6,1985,8,3203.28
6,1985,9,3952.99
6,1985,10,1395.08
6,1985,11,1486.52
6,1985,12,1091.84
6,1986,1,1057.71
6,1986,2,1274.61
6,1986,3,1576.10
6,1986,4,1128.26
6,1986,5,1861.10
6,1986,6,5608.78
6,1986,7,3354.78
